title,link,date,summary
Stock market today: Nasdaq edges back from its record as chip companies and Eli Lilly slump,https://apnews.com/article/financial-markets-oil-prices-tech-stocks-inflation-cad4ec20af6d16d130c18c60a9c4d655,2024-10-30 22:18:10,U.S. stock indexes edged lower after drops for Eli Lilly and chip companies overshadowed a jump for Google’s parent company. The S&P 500 slipped 0.3% Wednesday.
US economy grew at a solid 2.8% pace last quarter on strength of consumer spending,https://apnews.com/article/economy-growth-inflation-gdp-consumers-federal-reserve-6a3fbfb5790b07434d656a95865b7435,2024-10-30 15:55:33,
IMF chief warns that world risks falling into slow-growth rut and urges China to enact reforms,https://apnews.com/article/imf-world-economy-debt-inflation-32b7b5fe50176a680a380835e7113723,2024-10-24 15:50:51,
Yellen says isolationism ‘made America and the world worse off’ in speech to global finance leaders,https://apnews.com/article/imf-world-bank-yellen-global-finance-bd58fde32b3717190429cb439767cddd,2024-10-22 16:50:40,
"China’s economy grows at a 4.6% rate in the last quarter, falls short of the official 5% target",https://apnews.com/article/china-gdp-economy-property-jinping-d98f4fcc041a8749618d53e26376ac2e,2024-10-18 12:28:13,
"China’s exports slow sharply in September, adding to worries over the economy",https://apnews.com/article/china-trade-economy-tariffs-3a003497a9f146acfa1129af4bfae4b6,2024-10-14 11:56:13,"China’s exports slowed sharply in September as global demand weakened, adding to worries over how to recharge growth in the world’s second-largest economy."
South Korea’s central bank cuts rates in a bid to boost the economy,https://apnews.com/article/south-korea-rate-cut-central-bank-economy-66f3bdd72aae9910f072b08f901b711f,2024-10-11 10:47:00,South Korea’s central bank cut its policy rate for the first time in more than four years as pressure to revive a sluggish economy outweighed concerns about the country’s level of household debt.
Germany’s economy is on track to shrink for a second straight year,https://apnews.com/article/germany-economy-gdp-recession-government-a4d30f2e398d12afbd793d69c5ac76de,2024-10-09 19:20:30,Germany’s government says its economy is on track to shrink for a second consecutive year. The German economy is Europe’s biggest.
China announces more support for economy but holds back on major spending package,https://apnews.com/article/china-economy-monetary-fiscal-stimulus-85d066a30085549200cdff18984c343a,2024-10-08 08:43:43,China’s economic planning agency has outlined details of measures aimed at boosting the economy but refrained from major spending initiatives.
"US adds a robust 254,000 jobs and unemployment dips to 4.1% in sign of still-sturdy labor market",https://apnews.com/article/jobs-hiring-federal-reserve-inflation-unemployment-economy-87447d5187b37bb0f5cf996e25bad808,2024-10-04 18:36:09,"America’s employers added a surprisingly strong 254,000 jobs in September, easing concerns about a weakening labor market and suggesting that the pace of hiring is still solid enough to support a growing economy."
Stock market today: Dow rallies to a record after a blockbuster jobs report,https://apnews.com/article/stock-markets-rates-oil-iran-cb6a744bb4c16fe09d59091a60c66609,2024-10-04 23:06:53,U.S. stocks rallied after a surprisingly strong U.S. jobs report raised optimism about the economy. The S&P 500 climbed 0.9% Friday to near its all-time high set on Monday.
